Sahir Islam,,Teen Tournament winner,"Somers, New York"
7,84000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4714,2005-02-17,7000,18500,11500,20600,24,2,2,1/2,-500,W,-7000,400,794
#3103,1998-02-11,100,2800,1156,3300,14,4,0,1/1,300,W,-1644,237,841
#3099,1998-02-05,4900,7800,7787,8000,28,2,1,2/2,1000,W,-13,467,810
#3040,1997-11-14,2300,4900,9800,6900,20,3,1,0/1,-2000,R,4900,356,968
#3039,1997-11-13,2700,8500,16500,8500,21,3,0,0/0,0,R,8000,379,905
#3036,1997-11-10,4900,10500,13700,7800,20,2,1,2/2,3500,R,3200,350,794
#3033,1997-11-05,2700,11300,12000,9100,19,0,2,1/1,3000,R,700,339,921
