Eugene Finerman,,writer,"Chicago, Illinois"
8,31200
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4760,2005-04-22,1600,13200,0,10000,9,0,1,1/1,5200,W,-13200,153,889
#4739,2005-03-24,2800,11600,15600,15600,17,1,5,0/1,-4000,R,4000,305,825
Super Jeopardy! #4,1990-07-07,2600,16100,21100,16100,16,1,0,0/0,0,R,5000,293,857
Super Jeopardy! #2,1990-06-23,4000,13000,26000,10800,12,3,1,2/2,5300,R,13000,217,844
#740,1987-11-20,1200,2400,4800,2400,9,2,2,0/0,0,R,2400,172,794
#739,1987-11-19,1600,3400,6800,6400,15,4,1,0/2,-3000,R,3400,267,794
#737,1987-11-17,3100,7700,12100,7100,14,0,2,1/1,1000,R,4400,254,762
#733,1987-11-11,1900,5900,3900,5900,16,3,3,0/0,0,W,-2000,276,762
