Jim Stalley,,crime data specialist,"Denver, Colorado"
6,107400
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4610,2004-09-24,0,2400,2400,2400,4,1,1,0/0,0,W,0,069,603
#4337,2003-06-10,5400,11000,21990,12600,22,3,4,1/2,0,R,10990,383,905
#4336,2003-06-09,6400,20000,21000,16600,24,1,1,2/2,5000,R,1000,417,825
#4335,2003-06-06,4400,13200,26200,7200,14,4,0,2/2,7800,R,13000,250,730
#4334,2003-06-05,2800,16000,19000,18400,23,3,4,0/1,-2400,R,3000,407,841
#4333,2003-06-04,3800,10600,17900,10600,11,0,0,0/0,0,R,7300,207,794
