Kyle Hale,,college senior,"Katy, Texas"
7,88900
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4753,2005-04-13,1600,3600,3601,3600,7,2,0,0/0,0,R,1,138,921
#4742,2005-03-29,7000,17000,14999,16200,21,3,0,1/1,2000,W,-2001,356,841
#4315,2003-05-09,4200,5300,0,4800,16,4,1,2/2,2500,W,-5300,267,810
#4195,2002-11-22,8800,17500,22500,19000,26,4,1,2/3,1100,R,5000,443,905
#4194,2002-11-21,10000,21300,28800,19800,30,2,3,2/2,3500,R,7500,517,905
#4192,2002-11-19,7400,20300,20300,21600,31,7,2,1/3,-500,W,0,508,746
#4190,2002-11-15,6800,12700,12700,14600,27,8,3,1/2,-700,R,0,467,810
