Josh Den Hartog,,junior,"Otley, Iowa"
6,23934
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4750,2005-04-08,6000,12800,25600,12800,20,2,1,0/0,0,R,12800,362,873
#3097,1998-02-03,1600,6400,14,7200,24,4,4,0/1,-800,W,-6386,407,857
#2875,1997-02-14,3600,9000,13928,6800,21,1,1,1/1,3000,R,4928,373,921
#2874,1997-02-13,2637,10274,7274,7500,21,2,0,1/2,3374,W,-3000,350,905
#2873,1997-02-12,2100,12200,15451,9100,23,2,1,2/2,4000,R,3251,400,905
#2866,1997-02-03,2800,7800,3989,7800,24,3,0,0/0,0,W,-3811,414,857
