Andrew Moore,,test prep instructor,"Buford, Georgia"
7,218407
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6637,2013-06-25,10800,26400,9999,17400,29,7,1,2/2,11000,W,-16401,483,873
#6636,2013-06-24,7600,16800,6800,16400,24,3,0,1/1,1200,W,-10000,407,762
#6635,2013-06-21,12800,23200,23601,24400,29,3,1,2/3,1000,R,401,492,921
#6634,2013-06-20,8800,20600,18100,21600,24,3,0,1/2,0,W,-2500,400,825
#6633,2013-06-19,10300,28700,32500,24800,29,1,0,3/3,8500,R,3800,492,937
#6632,2013-06-18,8400,17700,25601,13000,27,5,4,3/3,7900,R,7901,459,825
#6631,2013-06-17,4400,19200,31201,18400,20,2,1,1/1,2000,R,12001,356,778
