Jeff Stewart,,executive,"Los Alamos, New Mexico"
5,40500
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4737,2005-03-22,1800,12400,24800,10200,14,4,0,1/2,3800,R,12400,250,810
#2355,1994-11-25,5400,10400,20800,5100,23,6,2,2/2,6800,R,10400,400,905
#2354,1994-11-24,1800,7605,0,9600,25,5,2,1/3,-995,W,-7605,410,825
#2353,1994-11-23,2200,4800,9550,4800,16,3,1,0/0,0,R,4750,293,889
#2347,1994-11-15,1900,9300,8100,5900,19,2,1,1/1,4000,W,-1200,322,937
