Jamie Weiss,,law student,"St. Louis, Missouri"
5,70000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4737,2005-03-22,1000,2200,4400,2200,5,1,1,0/0,0,R,2200,103,810
#1426,1990-11-12,1400,1400,1991,1400,8,1,1,0/0,0,R,591,155,889
#1422,1990-11-06,400,4800,4600,5000,12,1,0,1/1,400,W,-200,203,873
#1265,1990-02-16,2400,11000,14000,10200,21,1,2,1/1,1200,R,3000,373,905
#1262,1990-02-13,3900,9200,14000,9100,19,0,2,1/1,700,R,4800,339,889
