George Tsuji,,software engineer,"Ottawa, Ontario, Canada"
2,40000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6027,2010-11-23,4800,8800,11500,9800,16,1,2,0/1,-1000,R,2700,288,778
#6026,2010-11-22,4200,13800,20000,13400,18,2,3,1/1,1000,R,6200,322,825
