Sara Heard,,housewife,"Brooklyn, New York"
5,39995
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6132,2011-04-19,3400,5600,9201,12600,19,5,2,0/1,-7000,R,3601,339,857
#6131,2011-04-18,3200,14600,15201,17600,23,3,1,1/2,-1000,R,601,400,778
#6130,2011-04-15,7200,28000,34000,24800,26,0,2,1/1,4000,R,6000,458,873
#6129,2011-04-14,3200,15200,28401,14600,18,2,1,1/1,1600,R,13201,322,921
#6128,2011-04-13,3600,14800,7999,14800,18,2,0,0/0,0,W,-6801,310,873
