Sandie Baker,,translation coordinator,"Eastpointe, Michigan"
7,156800
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6819,2014-04-17,8600,15400,4300,14400,20,3,0,2/2,3200,W,-11100,333,810
#6818,2014-04-16,7800,26000,25000,23400,29,2,4,2/2,5000,W,-1000,483,873
#6817,2014-04-15,8700,21100,20000,20600,23,0,0,1/1,1500,W,-1100,390,810
#6816,2014-04-14,6600,26800,26600,24200,24,2,2,3/3,6000,W,-200,393,825
#6815,2014-04-11,3800,13400,23700,14400,20,3,0,0/1,-1000,R,10300,356,794
#6814,2014-04-10,3600,14000,22500,15000,17,1,0,0/1,-1000,R,8500,305,825
#6813,2014-04-09,6400,12400,22400,12400,19,3,2,0/0,0,R,10000,345,794
