Jerry Slowik,,writer,"Arlington Heights, Illinois"
6,139194
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6744,2014-01-02,4600,800,1600,12600,19,4,0,0/2,-11800,R,800,333,762
#6743,2014-01-01,5600,21600,23000,15200,26,2,1,1/1,7200,R,1400,458,794
#6742,2013-12-31,1400,16400,26900,15800,20,4,1,1/1,2200,R,10500,356,698
#6741,2013-12-30,8000,21600,21902,21000,27,4,0,2/2,3400,R,302,467,825
#6740,2013-12-27,7600,25000,26799,24400,29,0,1,2/2,3800,R,1799,500,825
#6739,2013-12-26,10000,20400,23199,20400,30,4,2,1/2,600,R,2799,517,746
