Drew Horwood,,business analyst,"Minneapolis, Minnesota"
9,152982
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6565,2013-03-15,5800,2400,2400,12400,21,6,0,1/2,-9600,R,0,367,889
#6564,2013-03-14,3800,13800,13804,13800,17,4,0,0/0,0,R,4,310,746
#6563,2013-03-13,4500,16300,16298,19200,27,6,1,1/3,-1300,W,-2,443,825
#6562,2013-03-12,4800,22400,28801,17600,17,3,0,1/1,6400,R,6401,305,841
#6561,2013-03-11,5600,11800,8399,12400,23,4,0,1/1,1000,W,-3401,390,762
#6560,2013-03-08,5200,15200,6799,14800,16,1,2,1/1,2000,W,-8401,271,810
#6559,2013-03-07,2400,14800,27800,12000,15,2,0,1/1,4800,R,13000,271,841
#6558,2013-03-06,3800,9800,19201,10000,16,2,1,1/1,200,R,9401,288,810
#6557,2013-03-05,4000,8500,16998,10600,20,4,1,1/2,-500,R,8498,350,889
