Sandra Gore,,researcher,"Boston, Massachusetts"
7,110614
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4717,2005-02-22,6800,10800,10000,8200,17,5,2,1/1,3400,W,-800,288,857
Super Jeopardy! #11,1990-08-25,4000,20000,11799,20000,19,3,1,1/2,2000,W,-8201,317,891
#970,1988-11-18,1000,5000,0,4600,17,4,1,1/1,1000,W,-5000,288,905
#969,1988-11-17,5400,10500,13000,7800,24,2,0,2/2,3600,R,2500,417,889
#968,1988-11-16,2400,12700,16001,9600,21,0,0,2/2,4500,R,3301,367,889
#964,1988-11-10,2900,9300,8600,9100,28,4,0,1/1,500,W,-700,475,889
#753,1987-12-09,3100,8200,15802,9000,24,4,1,2/3,0,R,7602,410,889
