Patrick Tucker,,graduate student of public policy,"St. Louis, Missouri"
5,120005
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5916,2010-05-10,1600,2400,4700,2400,10,5,1,0/0,0,R,2300,190,698
#5695,2009-05-15,3200,19000,11399,18800,22,6,1,2/2,3400,W,-7601,367,841
#5694,2009-05-14,3400,14200,20200,15000,17,2,0,1/1,1200,R,6000,305,921
#5693,2009-05-13,5000,13400,23201,12600,21,3,0,2/2,4000,R,9801,367,841
#5690,2009-05-08,7800,15400,24001,15400,20,1,2,0/0,0,R,8601,362,921
