Nick Yozamp,,biology student,"St. Cloud, Minnesota"
6,120000
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5922,2010-05-18,200,3400,3400,3600,9,3,0,1/1,600,R,0,169,794
#5917,2010-05-11,6000,16400,16400,16400,17,0,0,0/0,0,W,0,293,810
#5855,2010-02-12,7400,14600,10799,14600,19,1,1,0/0,0,W,-3801,328,889
#5854,2010-02-11,6000,15600,20000,15600,22,2,0,0/0,0,R,4400,397,857
#5851,2010-02-08,4400,10800,16001,12600,21,4,1,0/1,-1800,R,5201,373,857
#5849,2010-02-04,6000,16400,20000,14400,20,1,0,2/2,3800,R,3600,350,889
