Julie Ross Godar,,online managing editor,"San Francisco, California"
2,31602
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6116,2011-03-28,6600,17400,2999,17000,20,1,1,1/1,1400,W,-14401,339,810
#6115,2011-03-25,4800,13000,15801,12600,21,3,0,2/2,2800,R,2801,367,794
