Rani Peffer,,corporate finance manager,"Crittenden, Kentucky"
6,85866
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6717,2013-11-26,6200,14600,1,14600,20,2,2,0/0,0,W,-14599,345,794
#6716,2013-11-25,3200,14600,11989,13400,18,3,1,1/2,2000,W,-2611,300,683
#6705,2013-11-08,6200,7800,15577,7800,17,2,0,1/1,800,R,7777,305,730
#6704,2013-11-07,8600,14200,12423,15400,21,2,3,0/1,-1200,W,-1777,356,730
#6703,2013-11-06,1600,9600,14401,11600,13,3,2,0/1,-2000,R,4801,237,778
#6702,2013-11-05,6400,7200,14311,6000,15,2,3,1/1,1800,R,7111,271,683
