Steve Berman,,teacher,"Santa Monica, California"
7,97993
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4757,2005-04-19,7400,12600,1999,12600,18,1,1,0/0,0,W,-10601,310,825
#4738,2005-03-23,5600,13200,20801,21000,23,3,1,0/2,-7800,R,7601,400,810
#1430,1990-11-16,1500,1000,2000,4200,17,3,1,0/2,-3200,R,1000,300,873
#1429,1990-11-15,3400,6200,2200,5300,14,0,0,1/1,1300,W,-4000,237,905
#1426,1990-11-12,5400,14200,14201,10700,26,2,3,2/2,4300,R,1,450,889
#1425,1990-11-09,1600,7600,7601,8400,20,3,1,1/2,-200,R,1,350,937
#1185,1989-10-27,3200,7600,13999,6200,18,3,0,2/2,2800,R,6399,317,889
