Dave Simpson,,pastor,"Belcamp, Maryland"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5654,2009-03-19,3400,14400,10800,8600,16,2,2,1/1,7000,W,-3600,271,841
#5650,2009-03-13,3000,11800,13000,11400,19,3,0,1/1,1000,R,1200,339,810
#5490,2008-06-20,3600,14400,28800,10000,14,1,0,1/1,6000,R,14400,254,921
#5489,2008-06-19,3000,14200,12099,14200,18,2,3,0/0,0,W,-2101,310,794
#5488,2008-06-18,7400,15000,23601,14800,24,4,2,1/1,1000,R,8601,424,825
#5487,2008-06-17,11000,23200,31601,15000,21,0,0,2/2,9800,R,8401,367,857
#5486,2008-06-16,9000,20800,21600,19400,27,3,1,1/2,3000,R,800,467,794
