Samantha Kaji,,supervisor,"Chilliwack, British Columbia, Canada"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4944,2006-02-23,5800,8200,2200,8200,17,4,2,0/0,0,W,-6000,293,810
#4943,2006-02-22,1800,19000,18900,18200,21,6,1,2/2,4000,W,-100,350,746
