Bruce Naegeli,,retired law librarian,"Phoenix, Arizona"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4764,2005-04-28,1400,7000,14000,7000,8,0,1,0/0,0,R,7000,155,889
#4744,2005-03-31,5400,14200,21600,14200,14,0,0,0/0,0,R,7400,259,810
Super Jeopardy!,11990-06-16,1000,10500,0,7500,6,0,1,1/1,5000,W,-10500,102,844
#970,1988-11-18,3200,5600,5999,5900,16,2,2,1/2,0,R,399,283,905
#969,1988-11-17,600,6400,12800,6400,14,1,0,0/0,0,R,6400,259,889
#967,1988-11-15,2600,8400,16700,4800,13,3,0,1/1,4000,R,8300,237,857
#961,1988-11-07,1900,13600,13801,10300,22,0,4,1/1,3900,R,201,390,937
#913,1988-07-20,4600,16800,26600,12500,29,1,3,3/3,5700,R,9800,492,794
