Phil Yellman,,word processor,"Albuquerque, New Mexico"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4772,2005-05-10,5400,11000,8000,12000,18,5,2,1/2,-600,W,-3000,300,873
#4769,2005-05-05,2000,14200,28200,8800,14,1,0,2/2,8200,R,14000,250,889
#4750,2005-04-08,3600,20600,25601,22400,21,4,2,1/2,200,R,5001,367,873
#1883,1992-11-11,3600,7600,4799,7400,22,4,1,1/1,700,W,-2801,373,857
#1748,1992-03-18,2400,14600,13200,13200,27,0,3,1/1,2000,W,-1400,458,857
