Sarah McNitt,,study abroad adviser,"Ann Arbor, Michigan"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6757,2014-01-21,5000,11400,11098,13400,20,3,1,0/1,-2000,W,-302,339,778
#6756,2014-01-20,8800,22200,20199,19600,24,1,1,2/2,4600,W,-2001,400,762
#6755,2014-01-17,5200,13200,23199,13200,15,1,0,0/0,0,R,9999,276,841
#6754,2014-01-16,4400,13600,17600,13600,19,2,0,0/0,0,R,4000,345,730
#6753,2014-01-15,8600,16600,12600,16600,23,1,2,0/0,0,W,-4000,397,841
#6752,2014-01-14,6600,11800,15800,13800,22,3,1,0/1,-2000,R,4000,390,746
