Bernie Cullen,,biologist,"Santa Barbara, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4742,2005-03-29,2200,19000,3966,16600,15,0,2,1/1,4000,W,-15034,254,841
#2812,1996-11-19,2200,5800,799,5800,14,0,1,0/0,0,W,-5001,241,873
#2760,1996-09-06,3300,14400,17600,8800,19,2,4,3/3,7300,R,3200,328,873
#2759,1996-09-05,3600,9600,10003,9600,23,0,1,0/0,0,R,403,414,825
#2758,1996-09-04,2300,8300,4900,11300,29,5,0,0/1,-3000,W,-3400,492,794
#2757,1996-09-03,3100,3100,0,3100,15,2,0,0/0,0,R,0,276,476
#2756,1996-09-02,1300,8600,14400,6900,11,0,3,2/2,3500,R,5800,200,889
