Trevor Norris,,management analyst,"Washington, D.C"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4750,2005-04-08,5000,7800,15600,7200,11,2,1,1/1,1200,R,7800,203,873
#4318,2003-05-14,3800,15000,9599,17000,21,3,1,0/1,-2000,W,-5401,356,778
#4312,2003-05-06,4200,15000,18000,15000,21,5,1,2/2,4000,R,3000,367,841
#3965,2001-11-23,4200,10000,16001,10000,27,1,0,2/2,900,R,6001,467,889
#3964,2001-11-22,2800,10400,15801,10400,23,0,0,1/1,500,R,5401,407,905
#3963,2001-11-21,1400,4600,4201,5000,14,6,3,0/1,-400,W,-399,237,714
#3952,2001-11-06,3000,7200,4400,7100,25,5,3,1/1,400,W,-2800,424,746
#3951,2001-11-05,3900,7300,14201,7200,20,2,2,1/1,500,R,6901,356,841
