Sara Terrell,,veterinary technician,"Collinsville, Connecticut"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#5329,2007-11-08,200,-1000,-1000,-1000,5,4,0,0/0,0,-,0,000,778
#5065,2006-09-22,-200,7400,7400,7400,10,3,2,0/0,0,R,0,190,905
#5064,2006-09-21,3800,18200,8200,17800,18,0,1,1/1,2000,W,-10000,305,651
#5063,2006-09-20,1800,15200,30400,11800,17,4,1,1/1,5000,R,15200,305,825
#5062,2006-09-19,3800,7600,15200,10600,19,5,1,0/1,-3000,R,7600,339,730
#5061,2006-09-18,3800,9000,17999,9000,12,0,1,0/0,0,R,8999,224,873
