Alan Bailey,,playwright and director,"Sherman Oaks, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4711,2005-02-14,7400,6000,12000,10600,21,4,2,1/2,-3800,R,6000,367,762
#4317,2003-05-13,3000,15000,13000,15000,15,1,3,0/0,0,W,-2000,259,905
#4315,2003-05-09,6600,20400,20400,21000,25,2,3,1/1,1000,W,0,424,810
#3903,2001-07-18,2500,8000,16000,5500,15,1,3,1/1,3300,R,8000,271,905
#3902,2001-07-17,3200,11900,10900,10000,23,1,3,2/2,3500,W,-1000,383,841
#3901,2001-07-16,1900,6500,13000,6500,12,1,2,0/0,0,R,6500,224,841
#3900,2001-07-13,3700,5700,11400,5700,21,2,1,0/0,0,R,5700,379,873
#3899,2001-07-12,2500,11400,10201,10100,23,2,1,2/2,2500,W,-1199,383,825
