James Arey,,hotel concierge,"New Orleans, Louisiana"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#3326,1999-02-08,-200,3400,0,3400,14,5,0,0/0,0,W,-3400,241,889
#3291,1998-12-21,2800,9800,9499,9900,27,4,1,3/3,1900,W,-301,443,730
#3290,1998-12-18,800,10200,10001,9000,21,3,2,2/2,2200,W,-199,350,651
#3289,1998-12-17,3500,11500,8000,11500,23,0,2,0/0,0,W,-3500,397,810
#3288,1998-12-16,1300,5400,10501,5900,19,5,0,0/1,-500,R,5101,339,825
#3287,1998-12-15,900,3700,4801,3700,16,6,1,0/0,0,R,1101,293,683
