Andrew Maly,,environmental engineer,"Bel Air, Maryland"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#3331,1999-02-15,3400,5800,0,5500,16,1,0,1/1,800,W,-5800,271,825
#3329,1999-02-11,800,5400,10800,4800,11,0,1,1/1,1200,R,5400,203,857
#3280,1998-12-04,2800,10300,10300,9600,21,2,1,1/1,1500,R,0,373,841
#3279,1998-12-03,4100,6100,12100,5500,20,3,0,2/2,1500,R,6000,350,746
#3278,1998-12-02,2000,10600,10600,9200,23,1,2,2/2,2400,W,0,383,730
#3277,1998-12-01,900,5900,5000,6900,19,3,2,1/2,-400,W,-900,317,667
#3276,1998-11-30,3700,6800,6100,8100,25,5,1,0/2,-1300,W,-700,417,603
