Jason Shore,,medical student,"Plano, Texas"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6548,2013-02-20,1400,10600,20622,10600,12,0,1,0/0,0,R,10022,224,889
#6543,2013-02-13,3600,13000,14000,13800,20,4,0,1/2,0,R,1000,350,857
#6492,2012-12-04,4400,17000,7000,15800,22,2,1,2/3,5200,W,-10000,361,746
#6491,2012-12-03,8800,21200,17400,20000,25,1,0,1/1,2000,W,-3800,424,746
#6490,2012-11-30,10000,25100,22600,25200,30,1,3,1/1,1500,W,-2500,508,778
#6489,2012-11-29,9800,11200,22322,13800,24,4,0,0/1,-2600,R,11122,424,825
#6488,2012-11-28,5000,22900,22878,20200,23,2,2,3/3,6500,W,-22,377,794
