Rick Robertson,,environmental consultant,"Carrollton, Texas"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#3657,2000-06-27,3100,6700,8100,6700,20,2,1,0/0,0,R,1400,362,825
#3656,2000-06-26,3300,9100,9700,9100,22,1,3,0/0,0,R,600,397,825
#3655,2000-06-23,600,4400,8800,4400,10,1,0,0/0,0,R,4400,190,778
