Justin Sausville,,urologist,"Baltimore, Maryland"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6243,2011-11-09,6400,10400,20799,10400,15,3,2,0/0,0,R,10399,276,889
#6242,2011-11-08,5600,15200,18599,17600,19,1,0,1/2,-800,R,3399,333,810
#6210,2011-09-23,1200,8400,3799,12000,16,6,1,0/1,-3600,W,-4601,271,857
#6209,2011-09-22,9400,23400,16799,22600,28,3,2,1/1,2400,W,-6601,475,889
#6208,2011-09-21,4700,16000,16000,16200,23,7,1,1/2,1000,R,0,400,873
#6207,2011-09-20,3600,16600,24401,16400,22,3,1,2/2,3200,R,7801,383,841
#6206,2011-09-19,5600,9200,18399,13200,18,3,1,0/1,-4000,R,9199,322,825
#6205,2011-07-29,7200,20000,28401,18600,18,0,3,2/2,3800,R,8401,317,762
#6204,2011-07-28,12100,27200,30000,25800,28,1,2,2/2,3800,R,2800,483,937
