Ryan Moore,,dot-com start-up partner,"Venice, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#3946,2001-10-29,2200,5800,1299,5800,13,1,2,0/0,0,W,-4501,224,921
#3943,2001-10-24,1000,7000,6000,6600,12,4,3,1/1,1200,W,-1000,203,825
#3832,2001-04-10,2700,7400,10800,7200,21,3,2,2/2,1300,R,3400,367,873
#3831,2001-04-09,1300,7000,5200,6900,16,2,1,2/2,1900,W,-1800,267,762
#3830,2001-04-06,1000,5400,3600,6300,18,3,1,1/2,-100,W,-1800,300,635
#3829,2001-04-05,4400,10200,10400,10200,24,1,1,1/1,500,R,200,424,841
#3828,2001-04-04,700,4900,9800,4900,14,5,2,0/0,0,R,4900,259,794
