Paul Gutowski,,counselor,"Rockford, Illinois"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4768,2005-05-04,2600,4600,9197,6600,15,5,1,0/1,-2000,R,4597,271,825
#4748,2005-04-06,4800,14000,22802,14000,17,0,2,1/1,1200,R,8802,305,857
#3097,1998-02-03,800,1800,2,1800,11,7,3,0/0,0,W,-1798,190,857
#2854,1997-01-16,3900,11000,15801,10200,23,0,3,2/2,2000,R,4801,400,921
#2853,1997-01-15,2900,7900,3199,7900,18,0,1,0/0,0,W,-4701,310,714
#2852,1997-01-14,1700,8500,9500,9800,27,4,1,1/3,-500,R,1000,459,841
#2851,1997-01-13,3000,9200,8400,9200,24,5,0,0/0,0,W,-800,414,778
#2850,1997-01-10,1400,8400,14401,9400,19,3,1,0/1,-1000,R,6001,339,794
