John Krizel,,writer,"Oceanside, New York"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6240,2011-11-04,1600,2000,14,2000,10,5,1,0/0,0,W,-1986,172,794
#5969,2010-07-22,6600,13400,8100,13400,19,2,0,0/0,0,W,-5300,328,794
#5968,2010-07-21,6800,16800,26401,16800,19,1,1,0/0,0,R,9601,345,841
#5967,2010-07-20,7000,17400,32001,17400,23,0,1,0/0,0,R,14601,414,937
#5966,2010-07-19,6800,13400,20801,14400,21,2,4,1/1,1000,R,7401,373,841
#5965,2010-07-16,5800,17800,26001,17800,22,2,3,0/0,0,R,8201,397,825
