Erin McLean,,junior at Boston University,"Danvers, Massachusetts"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#6243,2011-11-09,1000,5400,2,5400,12,2,0,0/0,0,W,-5398,207,889
#6241,2011-11-07,4800,8600,16003,10800,14,3,2,0/1,-2200,R,7403,254,825
#6025,2010-11-19,4000,16000,13998,14800,20,1,1,1/1,2800,W,-2002,339,841
#6024,2010-11-18,8400,22400,15999,21200,26,4,2,2/2,4200,W,-6401,433,730
#6021,2010-11-15,4200,14600,22401,14600,18,1,2,0/0,0,R,7801,328,762
#6017,2010-11-09,1400,13000,22401,14000,17,4,0,1/2,200,R,9401,300,857
