Kathy Cassity,,closed captioner,"Honolulu, Hawaii"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4311,2003-05-05,-200,-3000,-3000,-2000,6,7,1,0/1,-1000,-,0,000,714
#3975,2001-12-07,3400,13800,12400,15400,21,3,0,0/1,-1600,W,-1400,356,810
#3974,2001-12-06,4400,15600,23200,15600,23,4,0,0/0,0,R,7600,414,746
#3973,2001-12-05,2200,13400,2000,15200,20,6,2,0/2,-1800,W,-11400,333,762
#3972,2001-12-04,4800,14000,21600,13600,16,1,0,1/1,2000,R,7600,288,778
#3971,2001-12-03,4600,7800,12400,10800,17,4,2,0/2,-3000,R,4600,300,667
