Bill Nyden,,computer programmer and analyst,"Mountain View, California"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#1201,1989-11-20,2400,7800,5199,7200,24,3,1,1/1,1200,W,-2601,407,825
#1190,1989-11-03,1400,9000,12401,8000,20,3,0,1/1,2000,R,3401,356,889
