Wes Ulm,,medical student,"Boston, Massachusetts"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#3100,1998-02-06,1300,5700,600,6200,19,2,6,0/1,-500,W,-5100,322,841
#2957,1997-06-10,3100,9500,7399,8800,23,3,1,2/2,1900,W,-2101,383,889
#2956,1997-06-09,3500,14400,16200,13700,31,0,2,3/3,2700,R,1800,525,905
#2955,1997-06-06,1500,12600,17001,11900,25,4,1,1/1,1500,R,4401,441,905
#2954,1997-06-05,2800,12200,12800,12400,28,4,1,2/2,1300,R,600,483,841
#2953,1997-06-04,4100,19200,17200,18000,39,1,0,3/3,3300,W,-2000,639,921
