Chacko George,,senior at the University of Texas at Austin,"Austin, Texas"
GameID,AirDate,J! score,DJ! score,FJ! score,Coryat score,R,W,Rebs.,DDs,DD gain/loss,FJ!,FJ! gain/loss,BA,TBA
#4739,2005-03-24,4200,3400,6799,3400,14,6,3,0/0,0,R,3399,259,825
#3627,2000-05-16,700,4500,0,4300,12,5,0,1/1,1000,W,-4500,203,873
#3622,2000-05-09,3200,8500,10000,9000,22,2,1,0/1,-500,R,1500,390,810
#3495,1999-11-12,5100,9400,12901,9100,28,6,2,2/3,1500,R,3501,475,937
#3494,1999-11-11,1600,9900,7800,9200,21,3,3,1/1,1500,W,-2100,356,873
#3492,1999-11-09,2600,8800,5600,8400,23,4,3,2/2,1700,W,-3200,383,857
#3487,1999-11-02,1300,5900,10000,5900,18,3,3,0/0,0,R,4100,328,825
